Id,alpha_L,alpha_P,alpha_S,tau,y_LP,y_SL,y_PS
288714172,-0.3333,0.6667,-0.3333,-2.0,-1.0,-2.0,-3.0
288714337,0.0,-2.6667,2.6667,3.6667,1.0,1.0,9.0
288715073,15.6667,-8.0,-7.6667,0.6667,-23.0,24.0,1.0
288715075,-0.3333,0.3333,0.0,-2.6667,-2.0,-3.0,-3.0
288715076,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0
288715094,-5.6667,3.3333,2.3333,3.0,12.0,-5.0,2.0
288715099,8.6667,-9.6667,1.0,3.3333,-15.0,11.0,14.0
288715101,8.6667,-16.6667,8.0,0.3333,-25.0,1.0,25.0
288715102,3.0,-8.6667,5.6667,-3.3333,-15.0,-6.0,11.0
288715105,7.0,-16.6667,9.6667,-1.3333,-25.0,-4.0,25.0
288715113,9.3333,-11.6667,2.3333,3.0,-18.0,10.0,17.0
288715114,4.0,-11.0,7.0,-2.0,-17.0,-5.0,16.0
288715118,-2.3333,-8.3333,10.6667,0.0,-6.0,-13.0,19.0
288715121,9.6667,-13.3333,3.6667,-2.0,-25.0,4.0,15.0
288715123,0.6667,-0.3333,-0.3333,0.0,-1.0,1.0,0.0
288715127,3.3333,1.0,-4.3333,-3.6667,-6.0,4.0,-9.0
288715129,-2.0,1.3333,0.6667,-0.3333,3.0,-3.0,-1.0
288715150,4.3333,-13.3333,9.0,-7.3333,-25.0,-12.0,15.0
288715156,7.0,-14.3333,7.3333,0.3333,-21.0,0.0,22.0
288715158,11.6667,-16.3333,4.6667,3.0,-25.0,10.0,24.0
288715159,0.6667,-0.3333,-0.3333,-1.0,-2.0,0.0,-1.0
288715160,2.3333,-9.3333,7.0,-3.3333,-15.0,-8.0,13.0
288715170,9.6667,-16.6667,7.0,1.3333,-25.0,4.0,25.0
288715172,-9.6667,16.6667,-7.0,-1.3333,25.0,-4.0,-25.0
288715173,-13.3333,15.6667,-2.3333,-6.0,23.0,-17.0,-24.0
288715177,8.0,-13.3333,5.3333,2.3333,-19.0,5.0,21.0
288715179,14.0,-16.6667,2.6667,5.6667,-25.0,17.0,25.0
288715180,0.3333,-4.0,3.6667,-1.6667,-6.0,-5.0,6.0
288715196,-5.3333,-6.6667,12.0,-3.6667,-5.0,-21.0,15.0
288715198,-8.0,7.0,1.0,-6.0,9.0,-15.0,-12.0
288715200,0.0,0.3333,-0.3333,-0.3333,0.0,0.0,-1.0
288715211,-4.0,1.6667,2.3333,-0.6667,5.0,-7.0,0.0
288715217,1.0,4.0,-5.0,-6.0,-3.0,0.0,-15.0
288715228,-1.0,-4.6667,5.6667,-0.3333,-4.0,-7.0,10.0
288715230,0.6667,0.6667,-1.3333,-1.0,-1.0,1.0,-3.0
288715232,-5.3333,-8.3333,13.6667,3.0,0.0,-16.0,25.0
288715234,-2.0,5.3333,-3.3333,-1.3333,6.0,0.0,-10.0
288715268,16.6667,-15.6667,-1.0,7.3333,-25.0,25.0,22.0
288715272,8.6667,-4.3333,-4.3333,0.0,-13.0,13.0,0.0
288715274,1.0,-0.6667,-0.3333,-1.3333,-3.0,0.0,-1.0
288715275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288715276,-14.3333,14.6667,-0.3333,-5.0,24.0,-19.0,-20.0
288715282,-5.0,3.6667,1.3333,-4.6667,4.0,-11.0,-7.0
288715288,0.0,1.3333,-1.3333,23.6667,25.0,25.0,21.0
288715289,14.3333,-8.3333,-6.0,-2.3333,-25.0,18.0,0.0
288715291,-6.6667,-3.6667,10.3333,0.0,3.0,-17.0,14.0
288715296,-4.6667,-7.0,11.6667,3.3333,1.0,-13.0,22.0
288715304,13.0,-15.3333,2.3333,4.3333,-24.0,15.0,22.0
288715311,0.3333,-1.3333,1.0,1.6667,0.0,1.0,4.0
288715316,-0.3333,0.3333,0.0,0.3333,1.0,0.0,0.0
288715319,-7.0,13.6667,-6.6667,1.3333,22.0,1.0,-19.0
288715327,-3.0,3.0,0.0,-20.0,-14.0,-23.0,-23.0
288715329,15.0,-0.3333,-14.6667,-7.6667,-23.0,22.0,-22.0
288715330,2.0,1.0,-3.0,12.0,11.0,17.0,8.0
288715332,0.6667,-1.0,0.3333,-1.3333,-3.0,-1.0,0.0
288715342,-8.6667,16.6667,-8.0,-0.3333,25.0,-1.0,-25.0
288715343,-1.0,7.6667,-6.6667,-0.6667,8.0,5.0,-15.0
288715346,-10.3333,16.0,-5.6667,-1.3333,25.0,-6.0,-23.0
288715349,15.3333,-4.6667,-10.6667,-3.0,-23.0,23.0,-9.0
288715351,-6.6667,-2.6667,9.3333,5.0,9.0,-11.0,17.0
288715354,-3.0,5.6667,-2.6667,-1.6667,7.0,-2.0,-10.0
288715363,16.3333,-15.0,-1.3333,6.3333,-25.0,24.0,20.0
288715368,-6.0,6.0,0.0,6.0,18.0,0.0,0.0
288715369,15.0,-16.3333,1.3333,6.3333,-25.0,20.0,24.0
288715371,0.0,-16.6667,16.6667,-8.3333,-25.0,-25.0,25.0
288715379,-6.6667,13.0,-6.3333,-0.6667,19.0,-1.0,-20.0
288715384,5.3333,-16.0,10.6667,-1.6667,-23.0,-7.0,25.0
288715392,7.6667,-4.3333,-3.3333,-2.0,-14.0,9.0,-1.0
288715404,-5.0,-10.3333,15.3333,-0.6667,-6.0,-21.0,25.0
288715406,0.0,-11.0,11.0,-4.0,-15.0,-15.0,18.0
288715409,12.3333,-16.6667,4.3333,4.0,-25.0,12.0,25.0
288715426,-16.6667,11.6667,5.0,-3.3333,25.0,-25.0,-10.0
288715429,-13.0,4.3333,8.6667,-3.3333,14.0,-25.0,1.0
288715435,-2.0,4.3333,-2.3333,-1.3333,5.0,-1.0,-8.0
288715442,0.6667,-0.3333,-0.3333,0.0,-1.0,1.0,0.0
288715447,2.3333,-3.6667,1.3333,0.0,-6.0,1.0,5.0
288715458,0.0,-2.0,2.0,11.0,9.0,9.0,15.0
288715459,2.0,-1.6667,-0.3333,-2.3333,-6.0,0.0,-1.0
288715460,8.3333,-16.6667,8.3333,0.0,-25.0,0.0,25.0
288715463,-4.0,-4.0,8.0,-1.0,-1.0,-13.0,11.0
288715468,3.3333,-11.0,7.6667,2.3333,-12.0,-2.0,21.0
288715476,-8.6667,9.6667,-1.0,-2.3333,16.0,-10.0,-13.0
288715480,-11.6667,6.0,5.6667,0.3333,18.0,-17.0,0.0
288715483,-3.0,-9.6667,12.6667,-0.3333,-7.0,-16.0,22.0
288715485,5.6667,-4.3333,-1.3333,-3.0,-13.0,4.0,0.0
288715494,-9.6667,9.6667,0.0,-3.3333,16.0,-13.0,-13.0
288715501,0.0,0.6667,-0.6667,-0.6667,0.0,0.0,-2.0
288715509,-4.3333,-11.3333,15.6667,-3.0,-10.0,-23.0,24.0
288715511,6.0,-12.3333,6.3333,-1.6667,-20.0,-2.0,17.0
288715512,15.6667,-15.6667,0.0,6.3333,-25.0,22.0,22.0
288715515,2.0,-4.6667,2.6667,0.6667,-6.0,0.0,8.0
288715521,-4.6667,-7.0,11.6667,2.3333,0.0,-14.0,21.0
288715525,-9.0,-2.3333,11.3333,6.3333,13.0,-14.0,20.0
288715526,0.3333,-0.3333,0.0,-0.3333,-1.0,0.0,0.0
288715532,-8.0,-5.0,13.0,-1.0,2.0,-22.0,17.0
288715535,-8.3333,-8.3333,16.6667,0.0,0.0,-25.0,25.0
288715540,-10.3333,-6.3333,16.6667,2.0,6.0,-25.0,25.0
288715545,-6.0,6.0,0.0,-2.0,10.0,-8.0,-8.0
288715547,0.6667,1.6667,-2.3333,7.0,8.0,10.0,3.0
288715549,-3.0,-1.0,4.0,0.0,2.0,-7.0,5.0
288715558,-9.0,-3.6667,12.6667,1.6667,7.0,-20.0,18.0
288715559,-7.6667,14.6667,-7.0,0.6667,23.0,0.0,-21.0
288715561,-8.6667,15.6667,-7.0,0.6667,25.0,-1.0,-22.0
288715568,4.6667,-7.0,2.3333,-1.3333,-13.0,1.0,8.0
288715570,-8.6667,8.3333,0.3333,8.0,25.0,-1.0,0.0
288715572,10.6667,-11.0,0.3333,0.6667,-21.0,11.0,12.0
288715590,0.0,-6.0,6.0,-19.0,-25.0,-25.0,-7.0
288715598,-6.6667,-6.3333,13.0,-0.3333,0.0,-20.0,19.0
288715600,-1.0,-11.0,12.0,-1.0,-11.0,-14.0,22.0
