Id	Index1	Par	left	right	yny
288714172	1	LP	1	2	-3.00
288714172	2	SL	2	3	-2.00
288714172	3	PS	3	1	-1.00
288714337	1	LP	1	2	9.00
288714337	2	SL	2	3	1.00
288714337	3	PS	3	1	1.00
288715073	1	LP	1	2	1.00
288715073	2	SL	2	3	24.00
288715073	3	PS	3	1	-23.00
288715075	1	LP	1	2	-3.00
288715075	2	SL	2	3	-3.00
288715075	3	PS	3	1	-2.00
288715076	1	LP	1	2	-3.00
288715076	2	SL	2	3	-3.00
288715076	3	PS	3	1	-3.00
288715094	1	LP	1	2	2.00
288715094	2	SL	2	3	-5.00
288715094	3	PS	3	1	12.00
288715099	1	LP	1	2	14.00
288715099	2	SL	2	3	11.00
288715099	3	PS	3	1	-15.00
288715101	1	LP	1	2	25.00
288715101	2	SL	2	3	1.00
288715101	3	PS	3	1	-25.00
288715102	1	LP	1	2	11.00
288715102	2	SL	2	3	-6.00
288715102	3	PS	3	1	-15.00
288715105	1	LP	1	2	25.00
288715105	2	SL	2	3	-4.00
288715105	3	PS	3	1	-25.00
288715113	1	LP	1	2	17.00
288715113	2	SL	2	3	10.00
288715113	3	PS	3	1	-18.00
288715114	1	LP	1	2	16.00
288715114	2	SL	2	3	-5.00
288715114	3	PS	3	1	-17.00
288715118	1	LP	1	2	19.00
288715118	2	SL	2	3	-13.00
288715118	3	PS	3	1	-6.00
288715121	1	LP	1	2	15.00
288715121	2	SL	2	3	4.00
288715121	3	PS	3	1	-25.00
288715123	1	LP	1	2	0.00
288715123	2	SL	2	3	1.00
288715123	3	PS	3	1	-1.00
288715127	1	LP	1	2	-9.00
288715127	2	SL	2	3	4.00
288715127	3	PS	3	1	-6.00
288715129	1	LP	1	2	-1.00
288715129	2	SL	2	3	-3.00
288715129	3	PS	3	1	3.00
288715150	1	LP	1	2	15.00
288715150	2	SL	2	3	-12.00
288715150	3	PS	3	1	-25.00
288715156	1	LP	1	2	22.00
288715156	2	SL	2	3	0.00
288715156	3	PS	3	1	-21.00
288715158	1	LP	1	2	24.00
288715158	2	SL	2	3	10.00
288715158	3	PS	3	1	-25.00
288715159	1	LP	1	2	-1.00
288715159	2	SL	2	3	0.00
288715159	3	PS	3	1	-2.00
288715160	1	LP	1	2	13.00
288715160	2	SL	2	3	-8.00
288715160	3	PS	3	1	-15.00
288715170	1	LP	1	2	25.00
288715170	2	SL	2	3	4.00
288715170	3	PS	3	1	-25.00
288715172	1	LP	1	2	-25.00
288715172	2	SL	2	3	-4.00
288715172	3	PS	3	1	25.00
288715173	1	LP	1	2	-24.00
288715173	2	SL	2	3	-17.00
288715173	3	PS	3	1	23.00
288715177	1	LP	1	2	21.00
288715177	2	SL	2	3	5.00
288715177	3	PS	3	1	-19.00
288715179	1	LP	1	2	25.00
288715179	2	SL	2	3	17.00
288715179	3	PS	3	1	-25.00
288715180	1	LP	1	2	6.00
288715180	2	SL	2	3	-5.00
288715180	3	PS	3	1	-6.00
288715196	1	LP	1	2	15.00
288715196	2	SL	2	3	-21.00
288715196	3	PS	3	1	-5.00
288715198	1	LP	1	2	-12.00
288715198	2	SL	2	3	-15.00
288715198	3	PS	3	1	9.00
288715200	1	LP	1	2	-1.00
288715200	2	SL	2	3	0.00
288715200	3	PS	3	1	0.00
288715211	1	LP	1	2	0.00
288715211	2	SL	2	3	-7.00
288715211	3	PS	3	1	5.00
288715217	1	LP	1	2	-15.00
288715217	2	SL	2	3	0.00
288715217	3	PS	3	1	-3.00
288715228	1	LP	1	2	10.00
288715228	2	SL	2	3	-7.00
288715228	3	PS	3	1	-4.00
288715230	1	LP	1	2	-3.00
288715230	2	SL	2	3	1.00
288715230	3	PS	3	1	-1.00
288715232	1	LP	1	2	25.00
288715232	2	SL	2	3	-16.00
288715232	3	PS	3	1	0.00
288715234	1	LP	1	2	-10.00
288715234	2	SL	2	3	0.00
288715234	3	PS	3	1	6.00
288715268	1	LP	1	2	22.00
288715268	2	SL	2	3	25.00
288715268	3	PS	3	1	-25.00
288715272	1	LP	1	2	0.00
288715272	2	SL	2	3	13.00
288715272	3	PS	3	1	-13.00
288715274	1	LP	1	2	-1.00
288715274	2	SL	2	3	0.00
288715274	3	PS	3	1	-3.00
288715275	1	LP	1	2	0.00
288715275	2	SL	2	3	0.00
288715275	3	PS	3	1	0.00
288715276	1	LP	1	2	-20.00
288715276	2	SL	2	3	-19.00
288715276	3	PS	3	1	24.00
288715282	1	LP	1	2	-7.00
288715282	2	SL	2	3	-11.00
288715282	3	PS	3	1	4.00
288715288	1	LP	1	2	21.00
288715288	2	SL	2	3	25.00
288715288	3	PS	3	1	25.00
288715289	1	LP	1	2	0.00
288715289	2	SL	2	3	18.00
288715289	3	PS	3	1	-25.00
288715291	1	LP	1	2	14.00
288715291	2	SL	2	3	-17.00
288715291	3	PS	3	1	3.00
288715296	1	LP	1	2	22.00
288715296	2	SL	2	3	-13.00
288715296	3	PS	3	1	1.00
288715304	1	LP	1	2	22.00
288715304	2	SL	2	3	15.00
288715304	3	PS	3	1	-24.00
